Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Likes,Shares,Comments,Saves,Reach,Follows,term
sample_w25_post_001,sample_w25_account_001,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,04/05/2025 12:22,https://www.instagram.com/p/sample_w25_001/,IG image,,Lifetime,13990,642,254,7,120,9871,0,W25
sample_w25_post_002,sample_w25_account_002,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,13,03/21/2025 15:33,https://www.instagram.com/p/sample_w25_002/,IG reel,,Lifetime,15161,542,59,4,138,11517,5,W25
sample_w25_post_003,sample_w25_account_003,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,03/12/2025 14:18,https://www.instagram.com/p/sample_w25_003/,IG image,,Lifetime,2935,154,24,5,23,1936,1,W25
sample_w25_post_004,sample_w25_account_004,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,10,02/13/2025 07:37,https://www.instagram.com/p/sample_w25_004/,IG reel,,Lifetime,11060,378,129,6,18,4816,4,W25
sample_w25_post_005,sample_w25_account_005,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,03/13/2025 19:35,https://www.instagram.com/p/sample_w25_005/,IG carousel,,Lifetime,2180,70,4,3,20,1725,7,W25
sample_w25_post_006,sample_w25_account_006,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,01/12/2025 08:58,https://www.instagram.com/p/sample_w25_006/,IG image,,Lifetime,5768,99,92,5,32,2757,3,W25
sample_w25_post_007,sample_w25_account_007,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,02/21/2025 11:44,https://www.instagram.com/p/sample_w25_007/,IG image,,Lifetime,8427,379,25,4,64,5335,7,W25
sample_w25_post_008,sample_w25_account_008,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,17,01/29/2025 12:02,https://www.instagram.com/p/sample_w25_008/,IG reel,,Lifetime,1538,62,20,3,4,940,0,W25
sample_w25_post_009,sample_w25_account_009,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,15,02/25/2025 14:45,https://www.instagram.com/p/sample_w25_009/,IG reel,,Lifetime,10911,405,154,2,97,6764,1,W25
sample_w25_post_010,sample_w25_account_010,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,12,02/13/2025 11:30,https://www.instagram.com/p/sample_w25_010/,IG reel,,Lifetime,17546,430,110,0,24,10367,3,W25
sample_w25_post_011,sample_w25_account_011,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,1911,03/29/2025 13:10,https://www.instagram.com/p/sample_w25_011/,IG reel,,Lifetime,17092,550,522,1,97,13641,3,W25
sample_w25_post_012,sample_w25_account_012,uwmathsoc_sample,MathSoc Sample Account,Sample anonymized W25 caption for Instagram content analysis. Original caption removed for privacy.,0,02/24/2025 10:31,https://www.instagram.com/p/sample_w25_012/,IG carousel,,Lifetime,11059,150,95,7,19,6368,1,W25
