term,auto_content_hint,posts,total_views,total_reach,total_engagements,total_shares,total_saves,avg_engagement_rate_reach
W25,academic_career,20,111118,53282.0,1984,479,110,0.033486106035089905
W25,academic_support,4,50104,25723.0,1687,535,46,0.06357168727902485
W25,community_event,25,258322,102449.0,5866,2725,186,0.04903729041163197
W25,governance,10,65930,29002.0,628,97,21,0.021101048423101017
W25,other,23,253116,89838.0,9047,3800,213,0.07524152604260712
W25,recruitment,4,31516,12744.0,366,38,9,0.024263583729269605
W26,academic_career,5,48689,8298.0,365,78,42,0.032953923871750564
W26,academic_support,1,7018,2538.0,224,180,4,0.08825847123719464
W26,community_event,5,43134,17195.0,1389,1041,43,0.06812077044175376
W26,governance,12,77087,23948.0,490,192,26,0.019343158982132132
W26,other,18,163111,38974.0,2716,1372,84,0.05102441952116023
W26,recruitment,3,18257,5507.0,65,15,7,0.01166367119559721
