post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,likes,shares,comments,saves,reach,follows,term,publish_datetime,publish_date,publish_month,publish_weekday,publish_hour,post_format,account_username_clean,account_group,total_engagements,engagement_rate_reach,share_rate_reach,save_rate_reach,like_rate_reach,follow_rate_reach,engagement_rate_views,share_rate_views,save_rate_views,event_name_manual,content_type_manual,cta_type_manual,major_event_manual,auto_content_hint
18304135603240459,17841406005349913,uwmathsoc,UW Mathematics Society,"average uw stat230/231 experience

we’re praying for ur other finals 💪",22,04/16/2025 22:05,https://www.instagram.com/reel/DIiQm15OFGu/,IG reel,,Lifetime,22221,824,945,6,50,11897.0,11.0,W25,2025-04-16 22:05:00,2025-04-16,2025-04,Wednesday,22,reel,uwmathsoc,MathSoc-owned,1825,0.15340001681096074,0.07943178952677145,0.004202740186601665,0.06926115827519543,0.0009246028410523662,0.08212951712344178,0.0425273390036452,0.0022501237568066245,,,,,other
18022983350452211,17841406005349913,uwmathsoc,UW Mathematics Society,"Hey Mathies! 📙

We hope Math 239 went well ! 🫡💪

Good Luck on CS 350 ! 🤪🤓",24,03/06/2025 15:27,https://www.instagram.com/reel/DG4D58eSa4H/,IG reel,,Lifetime,16352,1018,806,0,53,10925.0,15.0,W25,2025-03-06 15:27:00,2025-03-06,2025-03,Thursday,15,reel,uwmathsoc,MathSoc-owned,1877,0.17180778032036614,0.07377574370709382,0.004851258581235698,0.09318077803203662,0.0013729977116704805,0.1147871819960861,0.04929060665362035,0.00324119373776908,,,,,other
18196061794351460,17841406005349913,uwmathsoc,UW Mathematics Society,"🎉🍀 Get ready for a night of laughs, luck, and bingo! 🍀🎉

Sex Toy Bingo is happening Tuesday, March 17 from 6-9 PM in STC 1012! Grab your friends and join us for a fun, light-hearted evening of bingo, exciting prizes, and a lively atmosphere. Come play, have some fun, and see if you can bingo your way to a win! 😉✨",0,03/15/2026 21:28,https://www.instagram.com/p/DV7myhpmhzY/,IG image,,Lifetime,12855,50,689,1,11,7003.0,2.0,W26,2026-03-15 21:28:00,2026-03-15,2026-03,Sunday,21,image,uwmathsoc,MathSoc-owned,751,0.1072397543909753,0.09838640582607454,0.0015707553905469085,0.007139797229758675,0.000285591889190347,0.05842084791909763,0.05359782185919876,0.0008556981719175418,,,,,community_event
18057384137085316,17841406005349913,uwmathsoc,UW Mathematics Society,"💚☘️ St. Patty’s Sex Toy Bingo! ☘️💚

📅 March 19 | ⏰ 6:45 – 9:00 PM | 📍 M3 1006

We have 40 prize packages ! Get your FREE ticket now with the link in bio!",15,03/17/2025 13:03,https://www.instagram.com/reel/DHUCeM1y6Hc/,IG reel,,Lifetime,9337,44,502,2,11,3900.0,3.0,W25,2025-03-17 13:03:00,2025-03-17,2025-03,Monday,13,reel,uwmathsoc,MathSoc-owned,559,0.14333333333333334,0.12871794871794873,0.0028205128205128207,0.011282051282051283,0.0007692307692307692,0.05986933704616044,0.05376459248152512,0.0011781086001927813,,,,,other
18084893561257030,17841406005349913,uwmathsoc,UW Mathematics Society,,6,03/08/2026 17:25,https://www.instagram.com/reel/DVpLvcXDuTx/,IG reel,,Lifetime,10888,36,465,13,8,3612.0,0.0,W26,2026-03-08 17:25:00,2026-03-08,2026-03,Sunday,17,reel,uwmathsoc,MathSoc-owned,522,0.14451827242524917,0.1287375415282392,0.0022148394241417496,0.009966777408637873,0.0,0.047942689199118295,0.04270756796473182,0.0007347538574577516,,,,,other
17997223349716476,17841406005349913,uwmathsoc,UW Mathematics Society,"💚☘️ St. Patty’s Sex Toy Bingo! ☘️💚

Get ready for a shamrockin’ night of wild fun at St. Patty’s Sex Toy Bingo! 🎉 Hosted by the iconic Bone Toof, expect fierce drag performances, cheeky bingo calls, and spicy prizes! 🍑🎁

📅 March 19 | ⏰ 6:45 – 9:00 PM | 📍 M3 1006
🎟️ Limited spots! Ticket holders get priority—walk-ins at 7:15 PM (if space allows). Doors close at 7:30 PM!

✨ Undergrad Math students only (WatCard required) ✨

Don’t miss out—secure your spot now for a night of luck, laughs, and fabulous fun! 🍀💃 #SexToyBingo #DragBingo #LuckyNight",0,03/12/2025 14:18,https://www.instagram.com/p/DHHTU55SF_c/,IG image,,Lifetime,10373,89,446,0,11,4469.0,0.0,W25,2025-03-12 14:18:00,2025-03-12,2025-03,Wednesday,14,image,uwmathsoc,MathSoc-owned,546,0.12217498321772209,0.09979861266502574,0.0024614007607965988,0.019914969791899755,0.0,0.05263665284874192,0.04299624023908223,0.0010604453870625664,,,,,community_event
17971272683706413,17841406005349913,uwmathsoc,UW Mathematics Society,"Thank you @uwempowercycle for the donations.

Come pick up a period package at our MathSoc Office ! Limited Packages.

We’re Open Monday - Friday @10am-5pm",18,03/23/2025 12:24,https://www.instagram.com/reel/DHjavFEyWRa/,IG reel,,Lifetime,18016,471,349,12,15,9025.0,2.0,W25,2025-03-23 12:24:00,2025-03-23,2025-03,Sunday,12,reel,uwmathsoc,MathSoc-owned,847,0.09385041551246537,0.038670360110803326,0.0016620498614958448,0.05218836565096953,0.00022160664819944597,0.04701376554174067,0.019371669626998225,0.0008325932504440497,,,,,other
18050172746265869,17841406005349913,uwmathsoc,UW Mathematics Society,"🧋 Midterm Bubble Tea Distress is happening...

🗓️ March 6th
⏰ 11:30 AM
📍 MC 3rd Floor

#uwaterloo #mathsoc #bubbletea #midterm #waterloo #uw",6,03/02/2025 05:20,https://www.instagram.com/reel/DGssoGjxRkg/,IG reel,,Lifetime,19635,193,333,0,23,9472.0,6.0,W25,2025-03-02 05:20:00,2025-03-02,2025-03,Sunday,5,reel,uwmathsoc,MathSoc-owned,549,0.05796030405405406,0.03515625,0.0024282094594594594,0.020375844594594593,0.000633445945945946,0.02796027501909855,0.016959511077158138,0.0011713776419658773,,,,,community_event
18060998998927237,17841406005349913,uwmathsoc,UW Mathematics Society,"Good luck on you STATISTICS Midterm next week! 

- Mathsoc and Timmy T

#mathsoc #uwaterloo #statistics #timmyt",53,01/30/2025 10:03,https://www.instagram.com/reel/DFdYYLNxqb6/,IG reel,,Lifetime,13863,429,266,1,24,8303.0,8.0,W25,2025-01-30 10:03:00,2025-01-30,2025-01,Thursday,10,reel,uwmathsoc,MathSoc-owned,720,0.08671564494760929,0.032036613272311214,0.0028905214982536433,0.051668071781283874,0.0009635071660845478,0.05193681021423934,0.019187765995816203,0.0017312270071413113,,,,,academic_support
18029395178360891,17841406005349913,uwmathsoc,UW Mathematics Society,"🚨ROOM CHANGE TO DWE 3522 / 3516🚨

🎲♠️ Get ready for a night of high stakes and sweet sips! Join MathSoc x UW Poker Studies Club for Casino Night – featuring poker, blackjack, prizes, and bubble tea! 🃏✨

📅 Wednesday, April 2nd
⏰ 6 - 8 PM
📍 DWE 3522 / 3516

First 50 attendees get free bubble tea! 🧋 Don't miss out! 🎰💸

**Please note this event is ONLY open to Undergraduate Faculty of Mathematics Students (MathSoc Members)**",0,03/31/2025 07:34,https://www.instagram.com/p/DH3gTkERmMA/,IG image,,Lifetime,15971,144,250,0,12,5509.0,1.0,W25,2025-03-31 07:34:00,2025-03-31,2025-03,Monday,7,image,uwmathsoc,MathSoc-owned,406,0.07369758576874205,0.0453802868034126,0.002178253766563805,0.026139045198765656,0.0001815211472136504,0.02542107569970572,0.015653371736271994,0.0007513618433410557,,,,,community_event
